code,name,industry,market,return_theme,rcept_no,rcept_date
264900,크라운제과,"곡물 가공품, 전분 및 전분제품 제조업",유가증권시장상장법인,11,20260318000900,2026-03-18
035900,JYP Ent.,오디오물 출판 및 원판 녹음업,코스닥시장상장법인,13,20260318001519,2026-03-18
272450,진에어,항공 여객 운송업,유가증권시장상장법인,11,20260318000946,2026-03-18
115530,씨엔플러스,전자 부품 제조업,코스닥시장상장법인,14,20250331002845,2025-03-31
003620,KG모빌리티,자동차용 엔진 및 자동차 제조업,유가증권시장상장법인,11,20260318000964,2026-03-18
051910,LG화학,기초 화학물질 제조업,유가증권시장상장법인,28,20260313001195,2026-03-13
003100,선광,기타 운송관련 서비스업,코스닥시장상장법인,11,20240313001244,2024-03-13
267980,매일유업,동물성 및 식물성 유지 제조업,코스닥시장상장법인,11,20260319001065,2026-03-19
084730,팅크웨어,통신 및 방송장비 제조업,코스닥시장상장법인,11,20260320001267,2026-03-20
006090,사조오양,수산물 가공 및 저장 처리업,유가증권시장상장법인,11,20260318001080,2026-03-18
032680,소프트센,기타 정보 서비스업,코스닥시장상장법인,11,20260320001183,2026-03-20
443670,에스피소프트,상품 중개업,코스닥시장상장법인,13,20260318000657,2026-03-18
047810,한국항공우주,"항공기, 우주선 및 부품 제조업",유가증권시장상장법인,27,20260318001461,2026-03-18
089860,롯데렌탈,운송장비 임대업,유가증권시장상장법인,9,20260316000884,2026-03-16
221800,유투바이오,기타 과학기술 서비스업,코스닥시장상장법인,28,20260320000150,2026-03-20
034230,파라다이스,유원지 및 기타 오락관련 서비스업,유가증권시장상장법인,11,20260319001270,2026-03-19
032800,판타지오,창작 및 예술관련 서비스업,코스닥시장상장법인,11,20260921000275,2026-09-21
002680,한탑,낙농제품 및 식용 빙과류 제조업,코스닥시장상장법인,13,20260227007246,2026-02-27
005090,SGC에너지,전기업,유가증권시장상장법인,28,20260312001227,2026-03-12
014530,극동유화,석유 정제품 제조업,유가증권시장상장법인,11,20260323001025,2026-03-23
256630,포인트엔지니어링,기타 금속 가공제품 제조업,코스닥시장상장법인,11,20260318001054,2026-03-18
149980,하이로닉,의료용 기기 제조업,코스닥시장상장법인,11,20240321000058,2024-03-21
007110,일신석재,"건축 자재, 철물 및 난방장치 도매업",유가증권시장상장법인,7,20260320001302,2026-03-20
058610,에스피지,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",코스닥시장상장법인,28,20260318000411,2026-03-18
079370,제우스,특수 목적용 기계 제조업,코스닥시장상장법인,28,20260323001146,2026-03-23
011300,성안머티리얼스,직물 직조 및 직물제품 제조업,유가증권시장상장법인,21,20260318000501,2026-03-18
373220,LG에너지솔루션,일차전지 및 축전지 제조업,유가증권시장상장법인,28,20260312000217,2026-03-12
071840,롯데하이마트,가전제품 및 정보 통신장비 소매업,유가증권시장상장법인,11,20260311004061,2026-03-11
318020,포인트모바일,컴퓨터 및 주변 장치 제조업,코스닥시장상장법인,11,20260318001433,2026-03-18
020710,시공테크,전문 디자인업,코스닥시장상장법인,22,20260316001645,2026-03-16
019680,대교,초등 교육기관,유가증권시장상장법인,11,20240314001769,2024-03-14
007590,동방아그로,"비료, 농약 및 살균ㆍ살충제 제조업",유가증권시장상장법인,11,20260312000569,2026-03-12
027740,마니커,"도축, 육류 가공 및 저장 처리업",유가증권시장상장법인,11,20260313001223,2026-03-13
004440,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업",유가증권시장상장법인,28,20260323000312,2026-03-23
057540,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",코스닥시장상장법인,11,20260318001260,2026-03-18
078160,메디포스트,기초 의약 물질 및 생물학적 제제 제조업,코스닥시장상장법인,28,20260319001247,2026-03-19
011810,STX,상품 종합 도매업,유가증권시장상장법인,11,20260323001638,2026-03-23
014970,삼륭물산,"골판지, 종이 상자 및 종이 용기 제조업",코스닥시장상장법인,11,20260319001382,2026-03-19
