type,market,code,date,year,pre5,day0,react2,gap,hold1,hold3,hold5,hold10,hold20
단일판매ㆍ공급계약체결,코스닥시장,348340,2024-06-28,2024,0.025751468794097496,-0.01671881601869339,-0.012094563349124983,0.02217622642635493,-0.01708209096305852,-0.022706459852342264,-0.01683488895928498,-0.017239563902723475,-0.177804459009011
단일판매ㆍ공급계약체결,유가증권시장,005960,2024-06-28,2024,0.00624002721730337,-0.006828374302743692,-0.005845446954022739,0.0017417711855257682,-0.000851028409070504,0.011985603392715476,0.008559939966290196,-0.0005343658963564336,0.028513724700163334
단일판매ㆍ공급계약체결,코스닥시장,290670,2024-06-28,2024,-0.022618887653332434,-0.010258550890742223,0.008151910583816339,0.0615898135878787,-0.04071198290397465,-0.039000548277578206,-0.04156618446814109,-0.04014723893853806,-0.14335498608758748
단일판매ㆍ공급계약체결,유가증권시장,163560,2024-06-28,2024,-0.006730378336222429,-0.001875364741683208,0.03561342962137941,0.01264327843739788,0.024307060120505958,0.0643829459045222,0.02786541770048797,0.02486519118894463,0.19062717489894132
단일판매ㆍ공급계약체결,코스닥시장,054540,2024-06-28,2024,0.07282670157039682,0.01017691448524728,0.026731490315518885,0.00042301665753093087,0.01586441941710842,-0.03126360437042147,-0.027553719391846147,-0.01144532619407208,0.14942386626573287
단일판매ㆍ공급계약체결,코스닥시장,432430,2024-06-28,2024,-0.13368802931820034,-0.09668157711563473,-0.18491266396649933,-0.011259706686534351,-0.08629956605253336,-0.09860143519553827,-0.11085418643906986,-0.20559685707108294,-0.2485730200861093
단일판매ㆍ공급계약체결,코스닥시장,408920,2024-06-28,2024,0.024129079826342367,-0.009861962404601453,-0.046905658712558945,0.0033821988004416187,-0.04042049082891547,-0.030547278100861164,-0.01906866417502962,-0.04583538290323514,-0.04174570692319804
단일판매ㆍ공급계약체결,코스닥시장,411080,2024-06-28,2024,-0.09084982312724411,0.005673198501238831,0.02565929957111221,0.004080604108321853,0.01562815169702952,0.023770523189145465,0.02440017715039455,-0.0032684629293272083,-0.11565851491285542
단일판매ㆍ공급계약체결,유가증권시장,100840,2024-06-28,2024,0.03382253414473262,-0.001427509728491985,0.0047864551093309985,-0.00034373454961500097,0.006438470376916221,0.014756877528453775,0.08320729804236834,0.2209923279410815,0.08009031592458238
단일판매ㆍ공급계약체결,유가증권시장,001260,2024-06-27,2024,-0.036151269749913964,-0.0033173576273254944,-0.007379029982080584,-0.004652718369708257,0.000521500157362376,0.037420972744662856,0.04052631684062629,0.006948006112917097,0.17632760728388489
단일판매ㆍ공급계약체결,유가증권시장,028050,2024-06-27,2024,0.018949146068895237,0.024790868108928773,0.06776241786356,0.012184555971016982,0.029261523930498932,0.026369294474441394,0.027337886433652696,-0.009396025131776316,0.1223003247797814
단일판매ㆍ공급계약체결,유가증권시장,064350,2024-06-27,2024,-0.04568094651097894,0.022874222295975185,0.04802153472776808,0.0033133055054064345,0.02104963962074754,-0.02711117180401731,-0.03153405857380038,0.019598923875719793,0.12313143288817921
단일판매ㆍ공급계약체결,코스닥시장,101360,2024-06-27,2024,0.04366916001031253,0.029087549358825605,-0.01557337823717823,-0.008175330041355634,-0.03566206889748339,-0.018425765843291492,0.004281827908105726,-0.12343932332158564,-0.23386276925994268
단일판매ㆍ공급계약체결,유가증권시장,051600,2024-06-27,2024,0.007251067054759795,-0.000475388658554181,0.0152426040952122,-0.0016539307875364992,0.01737153220179751,-0.012230098963661642,-0.019877443039741212,-0.01911480097958443,0.04820327487627977
단일판매ㆍ공급계약체결,코스닥시장,083930,2024-06-27,2024,-0.06259822145728554,-0.02378308716494961,-0.0323591257293671,-0.0008816056833552809,-0.007670720331691175,-0.07574457504377553,-0.042843423559476006,-0.07788066786494346,-0.13815329214523855
단일판매ㆍ공급계약체결,유가증권시장,013700,2024-06-27,2024,0.05396934508745581,0.005559635792993396,-0.02599172096011112,-0.002999825807724836,-0.028622524946072127,-0.008399773605299612,-0.035885863907704714,-0.024739677627026363,0.004975056196864815
단일판매ㆍ공급계약체결,유가증권시장,005960,2024-06-26,2024,0.007999644930018951,0.00035968051089356793,6.501316430398973e-05,0.002657273517987408,-0.002991710043312057,-0.008746237970174807,0.004046491208363258,-0.01059647324753256,0.019440875644418043
단일판매ㆍ공급계약체결,유가증권시장,097230,2024-06-26,2024,0.0008874310231227482,0.06065413645752353,0.04627619328852764,0.00301960548653692,-0.01633360254478672,-0.01406969356081521,-0.037638970928884186,-0.05714562484890674,-0.01641220739107946
단일판매ㆍ공급계약체결,유가증권시장,002780,2024-06-26,2024,0.0027065669922191897,0.005940331743718819,0.019912556924891273,0.002752225807392556,0.011129074600685518,0.012059460875317741,0.02447320279203874,0.03261860202354848,0.05193201506260242
단일판매ㆍ공급계약체결,코스닥시장,402030,2024-06-26,2024,0.02501046828263185,-0.029819198209360288,-0.015894152543652153,0.02115660626689591,-0.006959996996248902,-0.01104227167720978,-0.038326625279989174,-0.07285127196120025,-0.16478469939100346
단일판매ㆍ공급계약체결,유가증권시장,126720,2024-06-25,2024,0.020023604739273233,-0.0071092238187473265,-0.021337201250828997,0.008520760611409895,-0.02271429335479725,-0.015727350329770327,-0.05427786641385846,-0.023471863036353277,-0.13668687815342323
단일판매ㆍ공급계약체결,유가증권시장,019490,2024-06-25,2024,-0.009490284149615608,-0.014108027906592472,-0.019624872483705758,0.1020075076895794,-0.09742246456102288,-0.11549034997603844,-0.10800266301803252,-0.12065262002255771,-0.12220863266350462
단일판매ㆍ공급계약체결,유가증권시장,001360,2024-06-25,2024,-0.026672855127533583,0.022244983617651835,0.015192479114467914,0.008875694948557512,-0.015684429296539244,-0.03600099801817255,-0.019559796061311648,0.0019326788095924835,0.004358804936678666
