연말,종목 수,데이터 테마 vs 업종 ARI,업종 안 상관 − 업종 간 상관,순열 p(300회),데이터 테마 안 − 간
2020-12-30,1688,0.036,0.0515,0.0033222591362126247,0.1177
2021-12-30,1512,0.061,0.0574,0.0033222591362126247,0.1243
2022-12-29,1344,0.066,0.0748,0.0033222591362126247,0.1467
2023-12-28,1379,0.064,0.0723,0.0033222591362126247,0.1515
2024-12-30,1144,0.078,0.0709,0.0033222591362126247,0.1834
2025-12-30,1236,0.079,0.0744,0.0033222591362126247,0.1507
