,BASE,GPA,FSCORE,NSI,ACC,MAGIC,BUFFETT
BASE,1.0,0.292,0.48,0.17,-0.116,0.613,0.512
GPA,0.292,1.0,0.305,0.125,-0.073,0.852,0.469
FSCORE,0.48,0.305,1.0,0.248,0.093,0.469,0.463
NSI,0.17,0.125,0.248,1.0,-0.056,0.219,0.269
ACC,-0.116,-0.073,0.093,-0.056,1.0,-0.111,-0.268
MAGIC,0.613,0.852,0.469,0.219,-0.111,1.0,0.666
BUFFETT,0.512,0.469,0.463,0.269,-0.268,0.666,1.0
