전략,기간,연복리%,누적%,최대 손실폭%,최악의 달%
BASE+걸러내기(사후),검증 2020-02~2024-12,14.7,96.3,-27.5,-16.0
BASE+걸러내기(사후),표본외 2025-01~2026-09,20.1,35.6,-21.5,-10.5
