종목,코드,매수일,매도일,주수,매수가,매도가,손익,수익률%
KG이니시스,035600,2026-05-04,2026-06-01,14,11575,9980,-22628,-14.0
KT,030200,2026-05-04,2026-06-01,2,61332,53493,-15908,-13.0
한진중공업홀딩스,003480,2026-05-04,2026-06-01,27,6173,5080,-29817,-17.9
TP,007980,2026-05-04,2026-06-01,77,2190,1777,-32038,-19.0
한솔로지스틱스,009180,2026-05-04,2026-06-01,53,3187,2834,-19006,-11.3
세보엠이씨,011560,2026-05-04,2026-06-01,7,23851,22555,-9414,-5.6
INVENI,015360,2026-05-04,2026-07-01,10,16355,13962,-24231,-14.8
KTcs,058850,2026-06-01,2026-07-01,61,2520,2275,-15241,-9.9
GC메디아이,032620,2026-06-01,2026-07-01,45,3407,2869,-24490,-16.0
아이티센엔텍,010280,2026-06-01,2026-07-01,23,6564,5220,-31183,-20.7
하림,136480,2026-06-01,2026-07-01,53,2896,2675,-12048,-7.8
자이에스앤디,317400,2026-06-01,2026-08-03,41,3738,6347,106420,69.4
웅진,016880,2026-06-01,2026-08-03,71,2165,1963,-14612,-9.5
HDC,012630,2026-07-01,2026-08-03,6,21546,19960,-9775,-7.6
일지테크,019540,2026-07-01,2026-08-03,24,5802,6148,7968,5.7
이지바이오,353810,2026-07-01,2026-08-03,23,6133,6018,-2948,-2.1
현대그린푸드,453340,2026-06-01,2026-09-01,9,16535,18862,20575,13.8
티에이치엔,019180,2026-08-03,2026-09-01,27,5652,5369,-7950,-5.2
동아엘텍,088130,2026-08-03,2026-09-01,31,4951,5459,15398,10.0
샘표식품,248170,2026-08-03,2026-09-01,6,22498,23403,5127,3.8
