,BASE,ADD_BUFFETT,ADD_FSCORE,BUFFETT_for_EP,BUFFETT_for_SP,BUFFETT_for_ROE,BUFFETT_for_OPG,BUFFETT_for_OPG_Q,BUFFETT_for_VOL60,BUFFETT_for_TURN20,FSCORE_for_EP,FSCORE_for_SP,FSCORE_for_ROE,FSCORE_for_OPG,FSCORE_for_OPG_Q,FSCORE_for_VOL60,FSCORE_for_TURN20
2019-12-30,,,,,,,,,,,,,,0.13386439788498483,,,
2020-01-31,,,,,,,,,,,,,,0.10494077113041071,,,
2020-02-28,,,,,,,,,,,,,,-0.04065678425668292,,,
2020-03-31,,,,,,,,,,,,,,0.054861082565356066,,,
2020-04-29,-0.004250221636662612,-0.004250221636662612,0.012068393459100194,-0.004250221636662612,-0.004250221636662612,-0.004250221636662612,-0.004250221636662612,-0.004250221636662612,-0.004250221636662612,-0.004250221636662612,0.012085203489149082,0.033604588440150907,0.0007722672130182472,0.04089216531017204,0.016484354146580303,0.03818239555477246,0.023101638312011005
2020-05-29,0.03945244292225165,0.03945244292225165,0.0345291782449478,0.03945244292225165,0.03945244292225165,0.03945244292225165,0.03945244292225165,0.03945244292225165,0.03945244292225165,0.03945244292225165,0.04792204336309456,0.06449427971248037,0.03340294452629455,0.02753294785804512,0.01110680643211387,0.032225336346770043,0.018909611318542862
2020-06-30,0.00849698639368668,0.00849698639368668,0.012113220698109875,0.00849698639368668,0.00849698639368668,0.00849698639368668,0.00849698639368668,0.00849698639368668,0.00849698639368668,0.00849698639368668,0.004310707001343137,0.022715406843442986,-0.010321070090596315,0.0860351207277238,-0.005342478037078425,0.029514893857753754,0.0423898789996321
2020-07-31,-0.006046567074927188,-0.006046567074927188,-0.006481136528306484,-0.006046567074927188,-0.006046567074927188,-0.006046567074927188,-0.006046567074927188,-0.006046567074927188,-0.006046567074927188,-0.006046567074927188,0.002544880080934899,-0.0003956177205576186,-0.006712119696065439,-0.012459363805277613,-0.006879541824937455,-0.011364230980318954,-0.011780923105180929
2020-08-31,0.104848914454408,0.104848914454408,0.08955953264253999,0.104848914454408,0.104848914454408,0.104848914454408,0.104848914454408,0.104848914454408,0.104848914454408,0.104848914454408,0.0841211817374648,0.06372782345196513,0.10862022557852608,0.09173931954604549,0.10815181321032415,0.061192501313686795,0.05570425863184955
2020-09-29,0.196953889840225,0.196953889840225,0.18384179918873983,0.196953889840225,0.196953889840225,0.196953889840225,0.196953889840225,0.196953889840225,0.196953889840225,0.196953889840225,0.18061144792473724,0.12582278687704004,0.21256187386804637,0.21600363869126826,0.20287534649493041,0.15188810021483184,0.15852321612568898
2020-10-30,-0.060698825938222074,-0.060698825938222074,-0.06458422326699705,-0.060698825938222074,-0.060698825938222074,-0.060698825938222074,-0.060698825938222074,-0.060698825938222074,-0.060698825938222074,-0.060698825938222074,-0.07143494793141607,-0.07611547837381372,-0.05838506102319171,0.021757903165979812,-0.04496504235768012,-0.05776745952849644,-0.06887233059815157
2020-11-30,0.22813774136186385,0.22813774136186385,0.2159061504671003,0.22813774136186385,0.22813774136186385,0.22813774136186385,0.22813774136186385,0.22813774136186385,0.22813774136186385,0.22813774136186385,0.2217534064190643,0.218607732082902,0.21156095334946728,0.26543784885025357,0.20718769477360907,0.19510209960111247,0.18566669484555992
2020-12-30,0.19078278939842302,0.19078278939842302,0.17191334713175824,0.19078278939842302,0.19078278939842302,0.19078278939842302,0.19078278939842302,0.19078278939842302,0.19078278939842302,0.19078278939842302,0.17980480979672367,0.13688272744148552,0.20181598720314012,0.22225991949720084,0.17810844677230814,0.13597684675916133,0.13450323626834373
2021-01-29,0.19710508749306999,0.19710508749306999,0.17502883592878657,0.19710508749306999,0.19710508749306999,0.19710508749306999,0.19710508749306999,0.19710508749306999,0.19710508749306999,0.19710508749306999,0.16683079398450212,0.1297025167892863,0.19452584046674687,0.19210429320173855,0.17317498876266701,0.1427360498723938,0.15199309073063502
2021-02-26,0.1627395670394805,0.1627395670394805,0.15590592366039177,0.1627395670394805,0.1627395670394805,0.1627395670394805,0.1627395670394805,0.1627395670394805,0.1627395670394805,0.1627395670394805,0.1507352937208855,0.12163195454809302,0.1758232968792821,0.16615321701797,0.14511490531533494,0.1344396687924838,0.14889704301550266
2021-03-31,0.09060175764872948,0.09060175764872948,0.07122679896449176,0.09060175764872948,0.09060175764872948,0.09060175764872948,0.09060175764872948,0.09060175764872948,0.09060175764872948,0.09060175764872948,0.07109129006652486,0.045895800607272115,0.09434448928848378,0.12706776676793358,0.058604111202232655,0.05016279573183464,0.05208354863542961
2021-04-30,0.05114500420861708,0.012652357498005414,0.03158506019213394,0.02619745264932426,-0.027574698381881323,0.051256514482355825,0.07309283650566906,0.027073928504861008,-0.03555789664249764,-0.022416857564279923,0.04831317305285276,-0.007180961787445684,0.06885454835656621,0.07948758477652154,0.0463053269562563,-0.013350332761221054,0.0004113064283352159
2021-05-31,0.026503202338615795,0.02690473877319364,0.0330787907326186,0.02884749095357272,0.02306295116510531,0.02854459846088565,0.03532405781253146,0.016217146966450147,0.020927944594152273,0.03576848759119133,0.03818510598658533,0.03216848118160241,0.0371525307104391,0.04353137396469842,0.025720556593340937,0.02559283821731917,0.04106991812720213
2021-06-30,0.14602999844036152,0.14018901884417492,0.13739470015916502,0.15652554020383858,0.15563252561144614,0.1409454876482152,0.14473159813018419,0.13283925791427198,0.11695477992919372,0.11202755911831228,0.15413002144015836,0.15682310346133227,0.13945204709006895,0.11852969749844171,0.13370532033741908,0.11500733228967336,0.1092814822720337
2021-07-30,0.07694334572947858,0.08640724143227002,0.05342044042398079,0.1030169179599662,0.09582148410881827,0.09434671310447805,0.09459620016403979,0.08333611128867718,0.04888717495094666,0.04943946521257389,0.06672411902487387,0.06453925831089392,0.05836257800865653,0.07815668430620586,0.05045496148541177,0.015084806423840674,0.017633374803130965
2021-08-31,0.10366787762858652,0.1010602283959732,0.10036597711465105,0.11054252304954919,0.07481180804122192,0.1250771776221148,0.09431177148825282,0.08301196540848273,0.08948972877394049,0.07937235619139357,0.11322929280865658,0.07773516273129429,0.12384488208226606,0.11964962089328329,0.0810608994780349,0.08976457626434003,0.0803452661110972
2021-09-30,0.08551088276419316,0.07788606479115423,0.0726622603421082,0.085924846882477,0.0859579718163622,0.07973229411965686,0.11097144396710779,0.07376960760034608,0.058111420601861495,0.057951926391453204,0.0774617961229518,0.07776675812720515,0.0739374612192198,0.11488358050336114,0.06482608765114546,0.05087906951228872,0.05164941426962197
2021-10-29,0.20174275035506195,0.21630267022930766,0.19294790958964336,0.22236961674206035,0.26102075938744324,0.19552531354042585,0.16093752429725386,0.21548974105012003,0.19444683326888215,0.19077463940622383,0.18947881283066112,0.24017361860031955,0.170219686299841,0.12941409419365982,0.1945553503023366,0.16938397165478536,0.16341603846294808
2021-11-30,0.010390745675108302,0.006465265982601288,0.0075943898626284825,-0.015146031836241327,-0.026426888220409957,0.006692698127534095,0.039981452165089276,0.0026371985050861156,0.016995944803242433,0.036547847651740316,-0.010757781692398697,-0.025439191383467178,0.007803830548473057,0.056497693990973596,0.002356968762408998,0.019724186980631355,0.039449322677328
2021-12-30,0.25968286033119314,0.22451155060745012,0.23557811506057566,0.23679727710066248,0.1868664132415987,0.2580248911033752,0.28559828208323473,0.2020146383860158,0.18392251914675065,0.199866555855802,0.24681271550219488,0.19842184264652452,0.26712940870847013,0.311134495098224,0.21339946760082612,0.1891368900744706,0.2038824583399509
2022-01-28,0.18881666345105863,0.14951901558711542,0.16065592213270188,0.15910023115624472,0.1077406964624314,0.19055716101309741,0.1774941949118106,0.13111627932065142,0.11691681603199108,0.1284395300762429,0.17143504005275045,0.11869350985443741,0.20197626782179415,0.2123232491948684,0.14005452903856,0.1246098461710441,0.1364890412054946
2022-02-28,-0.07255851644025663,-0.06900508067024747,-0.0671611074681754,-0.07250964918317122,-0.06524437927886702,-0.07586264246375377,0.0024111069733353304,-0.05241060385490231,-0.055291163808895434,-0.04776424778034812,-0.06988009981421839,-0.062236251859278224,-0.07530141940132302,-0.006244826904894789,-0.05465765813344801,-0.05008970453089505,-0.04552421638843597
2022-03-31,0.26902056698800203,0.24491024509474738,0.26776639922790313,0.25384959301931165,0.1901775565275367,0.27947446576672824,0.25590008521749097,0.21426678394472062,0.21165984621322897,0.23495196680702532,0.2803335424252601,0.21856714129021437,0.3026689905653389,0.2969724890592573,0.23847264521708292,0.23589955088320955,0.25823386019057676
2022-04-29,0.07035990689551525,0.05261352200508293,0.07030130830204247,0.058581109060011446,0.054768801550904904,0.05825131652030877,0.033851682262752335,0.046799727649122026,0.03621792165274077,0.035732217578712894,0.07847422950882851,0.07555054175669645,0.0762002778041344,0.05457556325742624,0.06173694704126349,0.05736638421448581,0.05500148086432444
2022-05-31,0.14856225248873942,0.12051425948729051,0.1364280783443439,0.1338699500171169,0.1013702952601474,0.1584986635349318,0.11609968890602045,0.12129684155957964,0.07427177704277621,0.06834093073885956,0.14578237911877093,0.12445344671504377,0.16808140600898983,0.13999477733973018,0.13836036296004,0.09257456499272022,0.0880522283061483
2022-06-30,-0.019314957503498868,-0.014841721912242428,-0.02037426049576811,-0.015094679569131955,0.005021721570204031,-0.02299836305638775,0.03750239285142143,-0.009389344282785728,-0.007242064730681882,-0.009212494202247436,-0.018858145822705622,-0.001953635807309284,-0.031393823405484265,0.014839545041175952,-0.01394770958077349,-0.0113956565339066,-0.014666130229070167
2022-07-29,-0.002703414492621712,-0.009647890585664055,-0.0006603357442749894,-0.01432429183409884,-0.03667724146226577,0.012789715402599868,0.05529745730669211,-0.0007873805154110889,-0.02007945589574988,-0.019523072976420575,0.000625478426174172,-0.02593150118577048,0.021001956661919046,0.08639194470439765,0.006441735621504333,-0.010524730811581019,-0.013376876043248472
2022-08-31,0.2770997834557125,0.28164419858273415,0.2609512935800551,0.2940209401844634,0.2855114879314283,0.30299199651704145,0.23204368321862884,0.2709118005274578,0.22971124981531135,0.24756762590079645,0.2664994721012238,0.2659401503210565,0.2766800584184081,0.24504179877238488,0.2529445237503776,0.20874018681681747,0.22428425240496896
2022-09-30,0.11556062737672354,0.11075416849720902,0.12488060262144479,0.11871460561965547,0.12488275781550234,0.09502229480613698,0.19015995697875046,0.09640795902913722,0.11985186587179673,0.11884295569480471,0.12923304510598474,0.13748989123412067,0.11149136572020316,0.18355557991765592,0.11236345237279588,0.13445727777707545,0.13355445255772036
2022-10-31,0.10740201985651343,0.0855214201199139,0.10442454834752737,0.06488271292090571,0.05006885141100867,0.09400917924052363,0.16383021555470595,0.10351737596968232,0.09041266736670853,0.08136348996434083,0.09183135961918719,0.07405060701617025,0.11885032394632292,0.17110923060409516,0.11940188143280116,0.10996212724474784,0.10101264121711259
2022-11-30,0.20638513953758036,0.21002346912588393,0.18265115880169758,0.22152296856484724,0.23939080070969765,0.213927311832181,0.19090341648333314,0.22227525446961263,0.15006746872201276,0.1526757151600525,0.18650787862699444,0.21014548475361902,0.1787674466231954,0.1863300215336573,0.1971559278807267,0.118809301279237,0.1210891672142145
2022-12-29,0.010814271267258604,-0.0071830428232125855,0.026923600052767352,-0.018721250621056208,-0.013738431066023838,-0.01751837328300678,0.060766678697650886,0.009002286612496429,0.01373991537216654,0.006567718794908173,0.025112087752291377,0.0077719196910941216,0.01849949846944073,0.05965096013185984,0.039327505005113624,0.04917809011563887,0.04377589231166787
2023-01-31,0.10846716541338894,0.1089572549788681,0.1249077269625244,0.10568580427498467,0.13177647216000357,0.09016936547707652,0.12238493857917919,0.10987966450991453,0.11127832793467049,0.12518536130330904,0.12650061637158352,0.14246771819358456,0.10573255116036563,0.10765356841386595,0.12377761440091023,0.12704943658084203,0.14060541985465408
2023-02-28,0.09215598469544317,0.06571913195762791,0.0963255496403974,0.09758243134093819,0.08496000818938512,0.07501903394368685,0.07288597977216678,0.05765279339041593,0.04231484124441986,0.05119550401552775,0.12851823395203238,0.12446335653758715,0.10531735896778449,0.1218049076449791,0.08346081785028592,0.07407394136884224,0.07950007713514554
2023-03-31,0.15441108816445526,0.1361402074405682,0.13622385138846899,0.15913909790967554,0.13132812150565057,0.16248462297200997,0.10769792929384679,0.12446037081601674,0.09336415463429688,0.09996057107300228,0.15502166520036917,0.13410458550615567,0.16179387860546746,0.13198069599746182,0.1266677693401002,0.09002134645867439,0.09873891057607205
2023-04-28,0.04985330902485099,0.055820753220431577,0.06035953692413322,0.04752019062800465,0.05625887146666911,0.04213541348556153,0.08243882756206024,0.0402583690101606,0.0675996529492076,0.07516631635665924,0.056643905854075256,0.054309221514829364,0.04950535774727312,0.06677386265821432,0.04549676242840424,0.07362021712119705,0.0790748247442306
2023-05-31,0.16821257072915125,0.16428056148204068,0.1655855369671111,0.16376441588601534,0.17261070025520664,0.14919405553151444,0.200389677026149,0.13475736582136574,0.18353900127190453,0.1843879335786427,0.1613881339122863,0.17464780352455367,0.14691528907646476,0.2043677773584687,0.13384056206116016,0.18306508834496033,0.18702144055604558
2023-06-30,0.14971156378795608,0.1366547038232184,0.14593337586232494,0.15035545307947026,0.1571885911158995,0.12754125919011103,0.12570384437918256,0.1352308735797397,0.1393195193190795,0.10626261665440985,0.15882519988226373,0.16690881159985385,0.1355896992455767,0.11389074399606054,0.14409775944334802,0.1485384664660368,0.11983187224712016
2023-07-31,0.0797496942829513,0.07354625333327332,0.0548887966811145,0.09618593813909458,0.06726931809874484,0.11338306042101827,0.06660906332563006,0.06194689099019484,0.029316403740614894,0.0262329939803769,0.07358702875535314,0.05116223276280074,0.08945432665116475,0.05070345586034435,0.04579222287982797,0.013086690360542386,0.011017609208269098
