방식,연복리%,최대낙폭%,샤프,순위상관,월 교체율%,2022,2023,2024,2025,2026
고정 규칙,37.32953663192489,-27.518183345741654,1.0797085471927041,0.04069987602665332,29.818181818181817,0.21057210060624332,28.533696084738548,27.64732813653992,154.00911722596433,16.455259902186924
매년 재선정,14.303315935546745,-27.518183345741654,0.7327392040768185,0.13214525549946463,49.54545454545455,4.252177250202194,9.168301314803418,5.071089935215611,51.3315326605214,14.12980498026586
선형 회귀(릿지),3.6971791738319437,-31.255815976710256,0.2789936927180251,0.16035001596510146,64.9090909090909,-8.822982104703181,-4.225282050305957,-6.184005373767453,46.54286260708673,3.9624619548134454
그래디언트 부스팅,8.438596944879539,-27.133942484634012,0.43243084420065236,0.15858839901515737,66.72727272727272,-4.313485237147596,16.241563965792018,-3.6703582767998344,47.96040598488207,-2.5685043417232323
기준: 전 종목 동일 비중,-5.628155907475563,-36.32717276246057,-0.08889063517345011,,,-13.661052115897165,-3.35163855263364,-11.247666885829933,37.7568215956037,-15.421461287055438
