date,equity,n
2020-02-03,1018146.8504090001,6
2020-02-04,1028505.8504090001,6
2020-02-05,1030336.8504090001,6
2020-02-06,1038699.8504090001,6
2020-02-07,1045991.8504090001,6
2020-02-10,1046401.8504090001,6
2020-02-11,1050564.8504090002,6
2020-02-12,1071946.8504090002,6
2020-02-13,1063698.8504090002,6
2020-02-14,1053353.8504090002,6
2020-02-17,1053985.8504090002,6
2020-02-18,1049242.8504090002,6
2020-02-19,1047693.8504090001,6
2020-02-20,1042184.3778611,6
2020-02-21,1032029.3778611,6
2020-02-24,1017329.3778611,6
2020-02-25,1038089.3778611,6
2020-02-26,1030829.3778611,6
2020-02-27,1021749.3778611,6
2020-02-28,987839.3778611,6
2020-03-02,995513.6484611001,7
2020-03-03,997858.6484611001,7
2020-03-04,1011543.6484611001,7
2020-03-05,1010623.6484611001,7
2020-03-06,1000533.6484611001,7
2020-03-09,965238.6484611001,7
2020-03-10,953953.3289111,6
2020-03-11,924408.3289111,6
2020-03-12,900243.9575796,4
2020-03-13,874770.3301821,2
2020-03-16,876308.6365006,0
2020-03-17,876308.6365006,0
2020-03-18,876308.6365006,0
2020-03-19,876308.6365006,0
2020-03-20,876308.6365006,0
2020-03-23,876308.6365006,0
2020-03-24,876308.6365006,0
2020-03-25,876308.6365006,0
2020-03-26,876308.6365006,0
2020-03-27,876308.6365006,0
2020-03-30,876308.6365006,0
2020-03-31,876308.6365006,0
2020-04-01,872327.1732046,7
2020-04-02,886562.1732046,7
2020-04-03,910432.1732046,7
2020-04-06,928482.1732046,7
2020-04-07,940000.0209586,10
2020-04-08,946502.0209586,10
2020-04-09,956777.0209586,10
2020-04-10,968965.0209586,10
2020-04-13,947034.0209586,10
2020-04-14,966108.0209586,10
2020-04-16,963309.0209586,10
2020-04-17,978565.0209586,10
2020-04-20,976813.0209586,10
2020-04-21,994597.0209586,10
2020-04-22,1022829.0209586,10
2020-04-23,1030880.0209586,10
2020-04-24,1020812.0209586,10
2020-04-27,1040665.0209586,10
2020-04-28,1041699.0209586,10
2020-04-29,1048980.0209585999,10
2020-05-04,1045322.9526504999,10
2020-05-06,1066232.9526505,10
2020-05-07,1111072.9526505,10
2020-05-08,1125852.9526505,10
2020-05-11,1136164.9526505,10
2020-05-12,1141052.9526505,10
2020-05-13,1153516.9526505,10
2020-05-14,1150632.9526505,10
2020-05-15,1151016.9526505,10
2020-05-18,1174392.9526505,10
2020-05-19,1189338.9526505,10
2020-05-20,1194784.9526505,10
2020-05-21,1192354.5859908997,10
2020-05-22,1178444.5859908997,10
2020-05-25,1182934.5859908997,10
2020-05-26,1194850.5859908997,10
2020-05-27,1204280.5859908997,10
2020-05-28,1189944.5859908997,10
2020-05-29,1194846.5859908997,10
2020-06-01,1200498.2926908997,10
2020-06-02,1220990.2926908997,10
2020-06-03,1205270.2926908997,10
2020-06-04,1199916.2926908997,10
2020-06-05,1209254.2926908997,10
2020-06-08,1208930.2926908997,10
2020-06-09,1216220.2926908997,10
2020-06-10,1225106.2926908997,10
2020-06-11,1205690.2926908997,10
2020-06-12,1193138.2926908997,10
2020-06-15,1149134.2926908997,10
2020-06-16,1181296.2926908997,10
2020-06-17,1184452.2926908997,10
2020-06-18,1198442.2926908997,10
2020-06-19,1194950.2926908997,10
2020-06-22,1190452.2926908997,10
2020-06-23,1191934.2926908997,10
2020-06-24,1193034.2926908997,10
2020-06-25,1184040.2926908997,10
2020-06-26,1172814.2926908997,10
2020-06-29,1154216.2926908997,10
2020-06-30,1164512.2926908997,10
2020-07-01,1164493.6664518998,10
2020-07-02,1179773.6664518998,10
2020-07-03,1192793.6664518998,10
2020-07-06,1205753.6664518998,10
2020-07-07,1199643.6664518998,10
2020-07-08,1221513.6664518998,10
2020-07-09,1223563.6664518998,10
2020-07-10,1208213.6664518998,10
2020-07-13,1227863.6664518998,10
2020-07-14,1231713.6664518998,10
2020-07-15,1253213.6664518998,10
2020-07-16,1259563.6664518998,10
2020-07-17,1275663.6664518998,10
2020-07-20,1274863.6664518998,10
2020-07-21,1258313.6664518998,10
2020-07-22,1258263.6664518998,10
2020-07-23,1258813.6664518998,10
2020-07-24,1252813.6664518998,10
2020-07-27,1270963.6664518998,10
2020-07-28,1257163.6664518998,10
2020-07-29,1273713.6664518998,10
2020-07-30,1270613.6664518998,10
2020-07-31,1257263.6664518998,10
2020-08-03,1253559.9403508997,10
2020-08-04,1283879.9403508997,10
2020-08-05,1278189.9403508997,10
2020-08-06,1285679.9403508997,10
2020-08-07,1333019.9403508997,10
2020-08-10,1349889.9403508997,10
2020-08-11,1376179.9403508997,10
2020-08-12,1380479.9403508997,10
2020-08-13,1386569.9403508997,10
2020-08-14,1372369.9403508997,10
2020-08-18,1307749.9403508997,10
2020-08-19,1320719.9403508997,10
2020-08-20,1270707.1601292996,10
2020-08-21,1285050.1601292996,10
2020-08-24,1288840.1601292996,10
2020-08-25,1297830.1601292996,10
2020-08-26,1288840.1601292996,10
2020-08-27,1266330.1601292996,10
2020-08-28,1275730.1601292996,10
2020-08-31,1295920.1601292996,10
2020-09-01,1296089.8306692997,10
2020-09-02,1308959.8306692997,10
2020-09-03,1319189.8306692997,10
2020-09-04,1309819.8306692997,10
2020-09-07,1342379.8306692997,10
2020-09-08,1373199.8306692997,10
2020-09-09,1363236.8306692997,10
2020-09-10,1372916.8306692997,10
2020-09-11,1415389.8306692997,10
2020-09-14,1427652.8306692997,10
2020-09-15,1459759.8306692997,10
2020-09-16,1462999.8306692997,10
2020-09-17,1449819.8306692997,10
2020-09-18,1439409.8306692997,10
2020-09-21,1419539.8306692997,10
2020-09-22,1391476.8306692997,10
2020-09-23,1405006.8306692997,10
2020-09-24,1368113.8306692997,10
2020-09-25,1382193.8306692997,10
2020-09-28,1370786.8306692997,10
2020-09-29,1379156.8306692997,10
2020-10-05,1384119.7787136997,10
2020-10-06,1383835.7787136997,10
2020-10-07,1388669.7787136997,10
2020-10-08,1391501.7787136997,10
2020-10-12,1403324.7787136997,10
2020-10-13,1406929.7787136997,10
2020-10-14,1395595.7787136997,10
2020-10-15,1382825.7787136997,10
2020-10-16,1385439.7787136997,10
2020-10-19,1397071.7787136997,10
2020-10-20,1397123.7787136997,10
2020-10-21,1405667.7787136997,10
2020-10-22,1399805.7787136997,10
2020-10-23,1396709.7787136997,10
2020-10-26,1382244.7787136997,10
2020-10-27,1369199.7787136997,10
2020-10-28,1376285.7787136997,10
2020-10-29,1363563.7787136997,10
2020-10-30,1366226.7787136997,10
2020-11-02,1379554.8467684996,10
2020-11-03,1388270.8467684996,10
2020-11-04,1407181.8467684996,10
2020-11-05,1415006.8467684996,10
2020-11-06,1402696.8467684996,10
2020-11-09,1425155.8467684996,10
2020-11-10,1438764.8467684996,10
2020-11-11,1460049.8467684996,10
2020-11-12,1459200.8467684996,10
2020-11-13,1456880.8467684996,10
2020-11-16,1501919.8467684996,10
2020-11-17,1492761.8467684996,10
2020-11-18,1512209.8467684996,10
2020-11-19,1504596.8467684996,10
2020-11-20,1516636.4586392995,10
2020-11-23,1518216.4586392995,10
2020-11-24,1525336.4586392995,10
2020-11-25,1500573.4586392995,10
2020-11-26,1512936.4586392995,10
2020-11-27,1524586.4586392995,10
2020-11-30,1514526.4586392995,10
2020-12-01,1527531.8252200994,10
2020-12-02,1542711.8252200994,10
2020-12-03,1536121.8252200994,10
2020-12-04,1548131.8252200994,10
2020-12-07,1564881.8252200994,10
2020-12-08,1552131.8252200994,10
2020-12-09,1594361.8252200994,10
2020-12-10,1605751.8252200994,10
2020-12-11,1619631.8252200994,10
2020-12-14,1604531.8252200994,10
2020-12-15,1590711.8252200994,10
2020-12-16,1601501.8252200994,10
2020-12-17,1618771.8252200994,10
2020-12-18,1635511.8252200994,10
2020-12-21,1648361.8252200994,10
2020-12-22,1604151.8252200994,10
2020-12-23,1602221.8252200994,10
2020-12-24,1624051.8252200994,10
2020-12-28,1630831.8252200994,10
2020-12-29,1625721.8252200994,10
2020-12-30,1648501.8252200994,10
2021-01-04,1670916.8513686992,10
2021-01-05,1693516.8513686992,10
2021-01-06,1687942.8513686992,10
2021-01-07,1710290.8513686992,10
2021-01-08,1746964.8513686992,10
2021-01-11,1722864.8513686992,10
2021-01-12,1737614.8513686992,10
2021-01-13,1752318.8513686992,10
2021-01-14,1770840.8513686992,10
2021-01-15,1763772.8513686992,10
2021-01-18,1746998.8513686992,10
2021-01-19,1827650.8513686992,10
2021-01-20,1823846.8513686992,10
2021-01-21,1873546.8513686992,10
2021-01-22,1863372.8513686992,10
2021-01-25,1876496.8513686992,10
2021-01-26,1890596.8513686992,10
2021-01-27,1897948.8513686992,10
2021-01-28,1864798.8513686992,10
2021-01-29,1790408.8513686992,10
2021-02-01,1792996.6839358993,10
2021-02-02,1806686.6839358993,10
2021-02-03,1816716.6839358993,10
2021-02-04,1807916.6839358993,10
2021-02-05,1822025.6839358993,10
2021-02-08,1831120.6839358993,10
2021-02-09,1835635.6839358993,10
2021-02-10,1839855.6839358993,10
2021-02-15,1861454.6839358993,10
2021-02-16,1873637.6839358993,10
2021-02-17,1913737.6839358993,10
2021-02-18,1899547.6839358993,10
2021-02-19,1945402.6839358993,10
2021-02-22,2037686.6839358993,10
2021-02-23,2015241.6839358993,10
2021-02-24,1935658.6839358993,10
2021-02-25,1980442.6839358993,10
2021-02-26,1944497.6839358993,10
2021-03-02,1948841.779245199,10
2021-03-03,1960547.779245199,10
2021-03-04,1957283.779245199,10
2021-03-05,1950583.779245199,10
2021-03-08,1941047.779245199,10
2021-03-09,1919401.779245199,10
2021-03-10,1894557.779245199,10
2021-03-11,1907741.779245199,10
2021-03-12,1929941.779245199,10
2021-03-15,1955723.779245199,10
2021-03-16,1960247.779245199,10
2021-03-17,1959067.779245199,10
2021-03-18,1968717.779245199,10
2021-03-19,1965697.779245199,10
2021-03-22,1969467.779245199,10
2021-03-23,1970069.779245199,10
2021-03-24,1957043.779245199,10
2021-03-25,1955143.779245199,10
2021-03-26,1970863.779245199,10
2021-03-29,1988255.779245199,10
2021-03-30,2003185.779245199,10
2021-03-31,2037245.779245199,10
2021-04-01,2032026.7126101989,10
2021-04-02,2022946.7126101989,10
2021-04-05,2042502.7126101989,10
2021-04-06,2034654.2470735987,10
2021-04-07,2057564.2470735987,10
2021-04-08,2077478.2470735987,10
2021-04-09,2122540.2470735987,10
2021-04-12,2147958.2470735987,10
2021-04-13,2147676.2470735987,10
2021-04-14,2156680.2470735987,10
2021-04-15,2149396.2470735987,10
2021-04-16,2166438.2470735987,10
2021-04-19,2168786.2470735987,10
2021-04-20,2178072.2470735987,10
2021-04-21,2147884.2470735987,10
2021-04-22,2171486.2470735987,10
2021-04-23,2186402.2470735987,10
2021-04-26,2212082.2470735987,10
2021-04-27,2201004.2470735987,10
2021-04-28,2149588.2470735987,10
2021-04-29,2151656.2470735987,10
2021-04-30,2130402.2470735987,10
2021-05-03,2135620.7948075985,10
2021-05-04,2136226.7948075985,10
2021-05-06,2178690.7948075985,10
2021-05-07,2210126.7948075985,10
2021-05-10,2298744.7948075985,10
2021-05-11,2333574.7948075985,10
2021-05-12,2307278.7948075985,10
2021-05-13,2271142.7948075985,10
2021-05-14,2294474.7948075985,10
2021-05-17,2252932.7948075985,10
2021-05-18,2274818.7948075985,10
2021-05-20,2267260.7948075985,10
2021-05-21,2227409.1866227984,10
2021-05-24,2192472.1866227984,10
2021-05-25,2208900.1866227984,10
2021-05-26,2210768.1866227984,10
2021-05-27,2219248.1866227984,10
2021-05-28,2230924.1866227984,10
2021-05-31,2268347.1866227984,10
2021-06-01,2265630.075160698,10
2021-06-02,2264319.075160698,10
2021-06-03,2259669.075160698,10
2021-06-04,2248306.075160698,10
2021-06-07,2264251.075160698,10
2021-06-08,2273576.075160698,10
2021-06-09,2257556.075160698,10
2021-06-10,2252512.075160698,10
2021-06-11,2274936.075160698,10
2021-06-14,2275713.075160698,10
2021-06-15,2278367.075160698,10
2021-06-16,2296427.075160698,10
2021-06-17,2281123.075160698,10
2021-06-18,2281972.075160698,10
2021-06-21,2253253.075160698,10
2021-06-22,2294801.075160698,10
2021-06-23,2289571.075160698,10
2021-06-24,2283830.075160698,10
2021-06-25,2290610.075160698,10
2021-06-28,2312620.075160698,10
2021-06-29,2301568.075160698,10
2021-06-30,2322809.075160698,10
2021-07-01,2318344.8312112982,10
2021-07-02,2323453.8312112982,10
2021-07-05,2332908.8312112982,10
2021-07-06,2327722.8312112982,10
2021-07-07,2316753.8312112982,10
2021-07-08,2283171.8312112982,10
2021-07-09,2242471.8312112982,10
2021-07-12,2272404.8312112982,10
2021-07-13,2296166.8312112982,10
2021-07-14,2291555.8312112982,10
2021-07-15,2294366.8312112982,10
2021-07-16,2321767.8312112982,10
2021-07-19,2305872.8312112982,10
2021-07-20,2270828.8312112982,10
2021-07-21,2256689.8312112982,10
2021-07-22,2271282.8312112982,10
2021-07-23,2270652.8312112982,10
2021-07-26,2248714.8312112982,10
2021-07-27,2279815.8312112982,10
2021-07-28,2258171.8312112982,10
2021-07-29,2262193.8312112982,10
2021-07-30,2234850.8312112982,10
2021-08-02,2223139.232177698,10
2021-08-03,2212773.232177698,10
2021-08-04,2243305.232177698,10
2021-08-05,2257540.232177698,10
2021-08-06,2263451.232177698,10
2021-08-09,2266789.232177698,10
2021-08-10,2240420.232177698,10
2021-08-11,2219019.232177698,10
2021-08-12,2206238.232177698,10
2021-08-13,2164009.232177698,10
2021-08-17,2106039.232177698,10
2021-08-18,2119172.232177698,10
2021-08-19,2035481.232177698,10
2021-08-20,1982000.8753183978,9
2021-08-23,2008205.2575522978,10
2021-08-24,2069836.2575522978,10
2021-08-25,2079045.2575522978,10
2021-08-26,2086759.2575522978,10
2021-08-27,2099589.257552298,10
2021-08-30,2130967.257552298,10
2021-08-31,2138716.257552298,10
2021-09-01,2144664.2109362977,10
2021-09-02,2143034.2109362977,10
2021-09-03,2150814.2109362977,10
2021-09-06,2167034.2109362977,10
2021-09-07,2158779.2109362977,10
2021-09-08,2150814.2109362977,10
2021-09-09,2152704.2109362977,10
2021-09-10,2237094.2109362977,10
2021-09-13,2285999.2109362977,10
2021-09-14,2287344.2109362977,10
2021-09-15,2249559.2109362977,10
2021-09-16,2272494.2109362977,10
2021-09-17,2260394.2109362977,10
2021-09-23,2219034.2109362977,10
2021-09-24,2201819.2109362977,10
2021-09-27,2224369.2109362977,10
2021-09-28,2235054.2109362977,10
2021-09-29,2211139.2109362977,10
2021-09-30,2215799.2109362977,10
2021-10-01,2155766.7233825973,10
2021-10-05,2119172.7233825973,10
2021-10-06,2089651.7233825973,10
2021-10-07,2148049.2574675973,10
2021-10-08,2144300.2574675973,10
2021-10-12,2120565.2574675973,10
2021-10-13,2145587.2574675973,10
2021-10-14,2164911.2574675973,10
2021-10-15,2185839.2574675973,10
2021-10-18,2177776.2574675973,10
2021-10-19,2180040.2574675973,10
2021-10-20,2167436.2574675973,10
2021-10-21,2152907.2574675973,10
2021-10-22,2153733.2574675973,10
2021-10-25,2157330.2574675973,10
2021-10-26,2182275.2574675973,10
2021-10-27,2175730.2574675973,10
2021-10-28,2156540.2574675973,10
2021-10-29,2141217.2574675973,10
2021-11-01,2138618.110128997,10
2021-11-02,2152268.110128997,10
2021-11-03,2144668.110128997,10
2021-11-04,2143718.110128997,10
2021-11-05,2121653.110128997,10
2021-11-08,2120508.110128997,10
2021-11-09,2112773.110128997,10
2021-11-10,2082668.1101289971,10
2021-11-11,2071878.1101289971,10
2021-11-12,2103603.183778997,10
2021-11-15,2123613.183778997,10
2021-11-16,2116993.183778997,10
2021-11-17,2110153.183778997,10
2021-11-18,2097788.183778997,10
2021-11-19,2113108.183778997,10
2021-11-22,2099057.262447997,10
2021-11-23,2091697.262447997,10
2021-11-24,2105342.262447997,10
2021-11-25,2087232.262447997,10
2021-11-26,2049077.262447997,10
2021-11-29,2004212.262447997,10
2021-11-30,1948732.262447997,10
2021-12-01,1993384.1882449968,10
2021-12-02,2038294.1882449968,10
2021-12-03,2068794.1882449968,10
2021-12-06,2085009.1882449968,10
2021-12-07,2098774.188244997,10
2021-12-08,2117219.188244997,10
2021-12-09,2123109.188244997,10
2021-12-10,2115594.188244997,10
2021-12-13,2134954.188244997,10
2021-12-14,2134369.188244997,10
2021-12-15,2129864.188244997,10
2021-12-16,2127879.188244997,10
2021-12-17,2154914.188244997,10
2021-12-20,2114684.188244997,10
2021-12-21,2118814.188244997,10
2021-12-22,2117864.188244997,10
2021-12-23,2124044.188244997,10
2021-12-24,2126954.188244997,10
2021-12-27,2137999.188244997,10
2021-12-28,2154149.188244997,10
2021-12-29,2120654.188244997,10
2021-12-30,2119084.188244997,10
2022-01-03,2136175.852754797,10
2022-01-04,2151936.852754797,10
2022-01-05,2149343.852754797,10
2022-01-06,2128220.852754797,10
