date,equity,n
2020-02-03,1018146.8504090001,6
2020-02-04,1028505.8504090001,6
2020-02-05,1030336.8504090001,6
2020-02-06,1038699.8504090001,6
2020-02-07,1045991.8504090001,6
2020-02-10,1046401.8504090001,6
2020-02-11,1050564.8504090002,6
2020-02-12,1071946.8504090002,6
2020-02-13,1063698.8504090002,6
2020-02-14,1053353.8504090002,6
2020-02-17,1053985.8504090002,6
2020-02-18,1049242.8504090002,6
2020-02-19,1047693.8504090001,6
2020-02-20,1044534.8504090001,6
2020-02-21,1034521.8504090001,6
2020-02-24,1010046.8504090001,6
2020-02-25,1032477.8504090001,6
2020-02-26,1030563.8504090001,6
2020-02-27,1006449.8504090001,6
2020-02-28,974201.8504090001,6
2020-03-02,977426.1156497,7
2020-03-03,979917.1156497,7
2020-03-04,993552.1156497,7
2020-03-05,992642.1156497,7
2020-03-06,983182.1156497,7
2020-03-09,949289.1156497,7
2020-03-10,946045.1156497,7
2020-03-11,912769.1156497,7
2020-03-12,880443.1156497,7
2020-03-13,825028.1156497,7
2020-03-16,799253.1156497,7
2020-03-17,792301.1156497,7
2020-03-18,761580.1156497,7
2020-03-19,685127.1156497,7
2020-03-20,722362.1156497,7
2020-03-23,699656.1156497,7
2020-03-24,736528.1156497,7
2020-03-25,762229.1156497,7
2020-03-26,769655.1156497,7
2020-03-27,776192.1156497,7
2020-03-30,811085.1156497,7
2020-03-31,836816.1156497,7
2020-04-01,837448.3148893,7
2020-04-02,850303.3148893,7
2020-04-03,869101.3148893,7
2020-04-06,881611.3148893,7
2020-04-07,915092.3148893,7
2020-04-08,914338.3148893,7
2020-04-09,922961.3148893,7
2020-04-10,937032.3148893,7
2020-04-13,930020.3148893,7
2020-04-14,943564.3148893,7
2020-04-16,953845.3148893,7
2020-04-17,963487.3148893,7
2020-04-20,966596.3148893,7
2020-04-21,950674.3148893,7
2020-04-22,946975.3148893,7
2020-04-23,953584.3148893,7
2020-04-24,938166.3148893,7
2020-04-27,943699.3148893,7
2020-04-28,940806.3148893,7
2020-04-29,945953.3148893,7
2020-05-04,946885.1755172997,10
2020-05-06,965623.1755172997,10
2020-05-07,1002643.1755172997,10
2020-05-08,1016238.1755172997,10
2020-05-11,1025964.1755172997,10
2020-05-12,1028813.1755172997,10
2020-05-13,1039645.1755172997,10
2020-05-14,1036583.1755172997,10
2020-05-15,1037165.1755172997,10
2020-05-18,1058367.1755172997,10
2020-05-19,1073359.1755172997,10
2020-05-20,1077732.1755172997,10
2020-05-21,1071412.1755172997,10
2020-05-22,1062824.1755172997,10
2020-05-25,1102152.1755172997,10
2020-05-26,1122906.1755172997,10
2020-05-27,1133372.1755172997,10
2020-05-28,1119346.1755172997,10
2020-05-29,1104844.1755172997,10
2020-06-01,1103778.4698166996,10
2020-06-02,1122714.4698166996,10
2020-06-03,1108099.4698166996,10
2020-06-04,1103373.4698166996,10
2020-06-05,1112147.4698166996,10
2020-06-08,1112291.4698166996,10
2020-06-09,1119366.4698166996,10
2020-06-10,1127704.4698166996,10
2020-06-11,1109896.4698166996,10
2020-06-12,1097610.4698166996,10
2020-06-15,1056535.4698166996,10
2020-06-16,1087105.4698166996,10
2020-06-17,1089623.4698166996,10
2020-06-18,1102348.4698166996,10
2020-06-19,1099216.4698166996,10
2020-06-22,1094818.4698166996,10
2020-06-23,1096209.4698166996,10
2020-06-24,1097664.4698166996,10
2020-06-25,1089572.4698166996,10
2020-06-26,1079265.4698166996,10
2020-06-29,1062026.4698166996,10
2020-06-30,1071894.4698166996,10
2020-07-01,1069265.9863021998,10
2020-07-02,1075235.9863021998,10
2020-07-03,1090869.9863021998,10
2020-07-06,1100809.9863021998,10
2020-07-07,1097429.9863021998,10
2020-07-08,1112229.9863021998,10
2020-07-09,1119979.9863021998,10
2020-07-10,1111959.9863021998,10
2020-07-13,1131783.9863021998,10
2020-07-14,1144033.9863021998,10
2020-07-15,1166673.9863021998,10
2020-07-16,1173103.9863021998,10
2020-07-17,1184763.9863021998,10
2020-07-20,1185659.9863021998,10
2020-07-21,1177149.9863021998,10
2020-07-22,1176949.9863021998,10
2020-07-23,1176259.9863021998,10
2020-07-24,1169189.9863021998,10
2020-07-27,1187349.9863021998,10
2020-07-28,1174349.9863021998,10
2020-07-29,1188467.9863021998,10
2020-07-30,1189153.9863021998,10
2020-07-31,1174753.9863021998,10
2020-08-03,1174726.6359401997,10
2020-08-04,1203570.6359401997,10
2020-08-05,1199012.6359401997,10
2020-08-06,1206366.6359401997,10
2020-08-07,1251402.6359401997,10
2020-08-10,1268036.6359401997,10
2020-08-11,1293036.6359401997,10
2020-08-12,1296726.6359401997,10
2020-08-13,1301966.6359401997,10
2020-08-14,1289256.6359401997,10
2020-08-18,1228728.6359401997,10
2020-08-19,1240928.6359401997,10
2020-08-20,1206628.6359401997,10
2020-08-21,1217278.6359401997,10
2020-08-24,1210608.6359401997,10
2020-08-25,1235638.6359401997,10
2020-08-26,1233688.6359401997,10
2020-08-27,1206674.6359401997,10
2020-08-28,1222514.6359401997,10
2020-08-31,1262478.6359401997,10
2020-09-01,1259999.0888825997,10
2020-09-02,1272039.0888825997,10
2020-09-03,1281359.0888825997,10
2020-09-04,1271989.0888825997,10
2020-09-07,1302669.0888825997,10
2020-09-08,1333059.0888825997,10
2020-09-09,1323746.0888825997,10
2020-09-10,1332996.0888825997,10
2020-09-11,1374199.0888825997,10
2020-09-14,1385912.0888825997,10
2020-09-15,1416449.0888825997,10
2020-09-16,1419719.0888825997,10
2020-09-17,1406765.0888825997,10
2020-09-18,1397049.0888825997,10
2020-09-21,1378039.0888825997,10
2020-09-22,1350812.0888825997,10
2020-09-23,1363822.0888825997,10
2020-09-24,1328155.0888825997,10
2020-09-25,1341429.0888825997,10
2020-09-28,1330572.0888825997,10
2020-09-29,1338606.0888825997,10
2020-10-05,1343315.0776609995,10
2020-10-06,1342901.0776609995,10
2020-10-07,1347675.0776609995,10
2020-10-08,1350622.0776609995,10
2020-10-12,1362095.0776609995,10
2020-10-13,1365515.0776609995,10
2020-10-14,1354611.0776609995,10
2020-10-15,1342371.0776609995,10
2020-10-16,1344324.0776609995,10
2020-10-19,1355861.0776609995,10
2020-10-20,1355603.0776609995,10
2020-10-21,1363777.0776609995,10
2020-10-22,1357680.0776609995,10
2020-10-23,1355054.0776609995,10
2020-10-26,1341313.0776609995,10
2020-10-27,1328979.0776609995,10
2020-10-28,1335885.0776609995,10
2020-10-29,1323744.0776609995,10
2020-10-30,1325627.0776609995,10
2020-11-02,1338549.8873629994,10
2020-11-03,1347245.8873629994,10
2020-11-04,1365926.8873629994,10
2020-11-05,1373568.8873629994,10
2020-11-06,1361414.8873629994,10
2020-11-09,1383357.8873629994,10
2020-11-10,1396726.8873629994,10
2020-11-11,1417941.8873629994,10
2020-11-12,1417002.8873629994,10
2020-11-13,1414633.8873629994,10
2020-11-16,1458483.8873629994,10
2020-11-17,1449002.8873629994,10
2020-11-18,1467484.8873629994,10
2020-11-19,1459984.8873629994,10
2020-11-20,1469515.8873629994,10
2020-11-23,1480479.8873629994,10
2020-11-24,1492420.8873629994,10
2020-11-25,1488527.8873629994,10
2020-11-26,1491790.8873629994,10
2020-11-27,1494555.8873629994,10
2020-11-30,1490814.8873629994,10
2020-12-01,1497633.7940805994,10
2020-12-02,1512433.7940805994,10
2020-12-03,1506139.7940805994,10
2020-12-04,1517937.7940805994,10
2020-12-07,1534747.7940805994,10
2020-12-08,1522293.7940805994,10
2020-12-09,1563583.7940805994,10
2020-12-10,1574597.7940805994,10
2020-12-11,1588401.7940805994,10
2020-12-14,1573661.7940805994,10
2020-12-15,1560157.7940805994,10
2020-12-16,1570807.7940805994,10
2020-12-17,1588033.7940805994,10
2020-12-18,1603861.7940805994,10
2020-12-21,1616351.7940805994,10
2020-12-22,1573033.7940805994,10
2020-12-23,1571007.7940805994,10
2020-12-24,1592637.7940805994,10
2020-12-28,1599301.7940805994,10
2020-12-29,1594055.7940805994,10
2020-12-30,1616023.7940805994,10
2021-01-04,1637127.3801345995,10
2021-01-05,1659419.3801345995,10
2021-01-06,1654122.3801345995,10
2021-01-07,1676126.3801345995,10
2021-01-08,1710393.3801345995,10
2021-01-11,1686585.3801345995,10
2021-01-12,1701139.3801345995,10
2021-01-13,1715255.3801345995,10
2021-01-14,1733912.3801345995,10
2021-01-15,1726799.3801345995,10
2021-01-18,1709828.3801345995,10
2021-01-19,1784712.3801345995,10
2021-01-20,1781526.3801345995,10
2021-01-21,1827026.3801345995,10
2021-01-22,1817239.3801345995,10
2021-01-25,1830156.3801345995,10
2021-01-26,1844942.3801345995,10
2021-01-27,1853124.3801345995,10
2021-01-28,1820600.3801345995,10
2021-01-29,1748281.3801345995,10
2021-02-01,1751306.7526370995,10
2021-02-02,1764956.7526370995,10
2021-02-03,1774956.7526370995,10
2021-02-04,1765936.7526370995,10
2021-02-05,1779945.7526370995,10
2021-02-08,1788940.7526370995,10
2021-02-09,1793325.7526370995,10
2021-02-10,1797445.7526370995,10
2021-02-15,1818754.7526370995,10
2021-02-16,1830767.7526370995,10
2021-02-17,1870747.7526370995,10
2021-02-18,1856617.7526370995,10
2021-02-19,1902532.7526370995,10
2021-02-22,1994536.7526370995,10
2021-02-23,1972541.7526370995,10
2021-02-24,1893628.7526370995,10
2021-02-25,1938072.7526370995,10
2021-02-26,1902127.7526370995,10
2021-03-02,1906301.8506458993,10
2021-03-03,1917708.8506458993,10
2021-03-04,1914235.8506458993,10
2021-03-05,1907595.8506458993,10
2021-03-08,1898358.8506458993,10
2021-03-09,1877031.8506458993,10
2021-03-10,1852678.8506458993,10
2021-03-11,1865641.8506458993,10
2021-03-12,1887561.8506458993,10
2021-03-15,1912895.8506458993,10
2021-03-16,1917288.8506458993,10
2021-03-17,1916078.8506458993,10
2021-03-18,1925588.8506458993,10
2021-03-19,1922678.8506458993,10
2021-03-22,1926328.8506458993,10
2021-03-23,1927002.8506458993,10
2021-03-24,1914175.8506458993,10
2021-03-25,1912235.8506458993,10
2021-03-26,1927665.8506458993,10
2021-03-29,1944809.8506458993,10
2021-03-30,1959319.8506458993,10
2021-03-31,1992239.8506458993,10
2021-04-01,1987369.3612058994,10
2021-04-02,1978539.3612058994,10
2021-04-05,1997886.3612058994,10
2021-04-06,2015033.3612058994,10
2021-04-07,2030416.3612058994,10
2021-04-08,2048390.3612058994,10
2021-04-09,2086505.3612058994,10
2021-04-12,2100869.361205899,10
2021-04-13,2100365.361205899,10
2021-04-14,2104755.361205899,10
2021-04-15,2089608.3612058994,10
2021-04-16,2089651.3612058994,10
2021-04-19,2077921.3612058994,10
2021-04-20,2103548.361205899,10
2021-04-21,2111138.361205899,10
2021-04-22,2125748.361205899,10
2021-04-23,2125198.361205899,10
2021-04-26,2160835.361205899,10
2021-04-27,2149285.361205899,10
2021-04-28,2106028.361205899,10
2021-04-29,2098565.361205899,10
2021-04-30,2119712.361205899,10
2021-05-03,2115184.632001899,10
2021-05-04,2115790.632001899,10
2021-05-06,2158452.632001899,10
2021-05-07,2189888.632001899,10
2021-05-10,2278546.632001899,10
2021-05-11,2313297.632001899,10
2021-05-12,2286881.632001899,10
2021-05-13,2250507.632001899,10
2021-05-14,2274197.632001899,10
2021-05-17,2232178.632001899,10
2021-05-18,2253904.632001899,10
2021-05-20,2246346.632001899,10
2021-05-21,2214766.632001899,10
2021-05-24,2173554.632001899,10
2021-05-25,2191404.632001899,10
2021-05-26,2192068.632001899,10
2021-05-27,2207834.632001899,10
2021-05-28,2214308.632001899,10
2021-05-31,2239850.632001899,10
2021-06-01,2230833.408110999,10
2021-06-02,2229771.408110999,10
2021-06-03,2225124.408110999,10
2021-06-04,2214346.408110999,10
2021-06-07,2229755.408110999,10
2021-06-08,2239589.408110999,10
2021-06-09,2224086.408110999,10
2021-06-10,2218828.408110999,10
2021-06-11,2240654.408110999,10
2021-06-14,2241006.408110999,10
2021-06-15,2244140.408110999,10
2021-06-16,2261287.408110999,10
2021-06-17,2245485.408110999,10
2021-06-18,2246404.408110999,10
2021-06-21,2218134.408110999,10
2021-06-22,2258939.408110999,10
2021-06-23,2254008.408110999,10
2021-06-24,2246605.408110999,10
2021-06-25,2253250.408110999,10
2021-06-28,2273668.408110999,10
2021-06-29,2263125.408110999,10
2021-06-30,2283367.408110999,10
2021-07-01,2278617.583464999,10
2021-07-02,2284487.583464999,10
2021-07-05,2293680.583464999,10
2021-07-06,2288666.583464999,10
2021-07-07,2278427.583464999,10
2021-07-08,2245648.583464999,10
2021-07-09,2206472.583464999,10
2021-07-12,2235809.583464999,10
2021-07-13,2259692.583464999,10
2021-07-14,2254824.583464999,10
2021-07-15,2256541.583464999,10
2021-07-16,2282320.583464999,10
2021-07-19,2267002.583464999,10
2021-07-20,2233274.583464999,10
2021-07-21,2219386.583464999,10
2021-07-22,2233308.583464999,10
2021-07-23,2232787.583464999,10
2021-07-26,2211484.583464999,10
2021-07-27,2241369.583464999,10
2021-07-28,2220346.583464999,10
2021-07-29,2224522.583464999,10
2021-07-30,2197885.583464999,10
2021-08-02,2185956.1925602993,10
2021-08-03,2176235.1925602993,10
2021-08-04,2205189.1925602993,10
2021-08-05,2219197.1925602993,10
2021-08-06,2224707.1925602993,10
2021-08-09,2227726.1925602993,10
2021-08-10,2202783.1925602993,10
2021-08-11,2182648.1925602993,10
2021-08-12,2170070.1925602993,10
2021-08-13,2129363.1925602993,10
2021-08-17,2074347.192560299,10
2021-08-18,2086402.192560299,10
2021-08-19,2006602.192560299,10
2021-08-20,1953892.192560299,10
2021-08-23,2000548.192560299,10
2021-08-24,2049424.192560299,10
2021-08-25,2055366.192560299,10
2021-08-26,2056306.192560299,10
2021-08-27,2067114.192560299,10
2021-08-30,2085659.192560299,10
2021-08-31,2098666.1925602993,10
2021-09-01,2103684.585610299,10
2021-09-02,2101807.585610299,10
2021-09-03,2109959.585610299,10
2021-09-06,2126486.585610299,10
2021-09-07,2118675.585610299,10
2021-09-08,2111089.585610299,10
2021-09-09,2112964.585610299,10
2021-09-10,2197089.585610299,10
2021-09-13,2245775.585610299,10
2021-09-14,2247363.585610299,10
2021-09-15,2209500.585610299,10
2021-09-16,2231860.585610299,10
2021-09-17,2219509.585610299,10
2021-09-23,2178937.585610299,10
2021-09-24,2162327.585610299,10
2021-09-27,2184877.585610299,10
2021-09-28,2195865.585610299,10
2021-09-29,2172128.585610299,10
2021-09-30,2176577.585610299,10
2021-10-01,2117312.4216481983,10
2021-10-05,2081880.4216481983,10
2021-10-06,2052869.4216481983,10
2021-10-07,2113117.4216481983,10
2021-10-08,2109699.4216481983,10
2021-10-12,2085203.4216481983,10
2021-10-13,2108861.4216481983,10
2021-10-14,2129186.4216481983,10
2021-10-15,2155080.4216481983,10
2021-10-18,2144732.4216481983,10
2021-10-19,2145515.4216481983,10
2021-10-20,2136581.4216481983,10
2021-10-21,2126911.4216481983,10
2021-10-22,2122412.4216481983,10
2021-10-25,2126219.4216481983,10
2021-10-26,2153031.4216481983,10
2021-10-27,2146875.4216481983,10
2021-10-28,2128424.4216481983,10
2021-10-29,2109126.4216481983,10
2021-11-01,2108845.269867298,10
2021-11-02,2122040.269867298,10
2021-11-03,2114790.269867298,10
2021-11-04,2113560.269867298,10
2021-11-05,2092760.2698672982,10
2021-11-08,2091640.2698672982,10
2021-11-09,2084485.2698672982,10
2021-11-10,2055975.2698672982,10
2021-11-11,2046380.2698672982,10
2021-11-12,2082860.2698672982,10
2021-11-15,2111950.269867298,10
2021-11-16,2107600.269867298,10
2021-11-17,2106490.269867298,10
2021-11-18,2098855.269867298,10
2021-11-19,2110780.269867298,10
2021-11-22,2095290.2698672982,10
2021-11-23,2104130.269867298,10
2021-11-24,2097945.269867298,10
2021-11-25,2103625.269867298,10
2021-11-26,2060070.2698672982,10
2021-11-29,2021940.2698672982,10
2021-11-30,1943015.2698672982,10
2021-12-01,1984474.953941298,10
2021-12-02,2030084.953941298,10
2021-12-03,2061534.953941298,10
2021-12-06,2077899.953941298,10
2021-12-07,2091164.953941298,10
2021-12-08,2109559.953941298,10
2021-12-09,2113299.953941298,10
2021-12-10,2108484.953941298,10
2021-12-13,2126494.953941298,10
2021-12-14,2124659.953941298,10
2021-12-15,2119404.953941298,10
2021-12-16,2117019.953941298,10
2021-12-17,2141254.953941298,10
2021-12-20,2099174.953941298,10
2021-12-21,2102604.953941298,10
2021-12-22,2102454.953941298,10
2021-12-23,2110384.953941298,10
2021-12-24,2113144.953941298,10
2021-12-27,2122389.953941298,10
2021-12-28,2135189.953941298,10
2021-12-29,2113744.953941298,10
2021-12-30,2113824.953941298,10
2022-01-03,2129453.312651098,10
2022-01-04,2145264.312651098,10
2022-01-05,2143371.312651098,10
2022-01-06,2123948.312651098,10
2022-01-07,2159315.312651098,10
2022-01-10,2140694.312651098,10
