date,equity,n
2020-02-03,1018146.8504090001,6
2020-02-04,1028505.8504090001,6
2020-02-05,1030336.8504090001,6
2020-02-06,1038699.8504090001,6
2020-02-07,1045991.8504090001,6
2020-02-10,1046401.8504090001,6
2020-02-11,1050564.8504090002,6
2020-02-12,1071946.8504090002,6
2020-02-13,1063698.8504090002,6
2020-02-14,1053353.8504090002,6
2020-02-17,1053985.8504090002,6
2020-02-18,1049242.8504090002,6
2020-02-19,1047693.8504090001,6
2020-02-20,1042184.3778611,6
2020-02-21,1032029.3778611,6
2020-02-24,1017329.3778611,6
2020-02-25,1038089.3778611,6
2020-02-26,1030829.3778611,6
2020-02-27,1021749.3778611,6
2020-02-28,987839.3778611,6
2020-03-02,995513.6484611001,7
2020-03-03,997858.6484611001,7
2020-03-04,1011543.6484611001,7
2020-03-05,1010623.6484611001,7
2020-03-06,1000533.6484611001,7
2020-03-09,965238.6484611001,7
2020-03-10,961958.6484611001,7
2020-03-11,927163.6484611001,7
2020-03-12,894033.6484611001,7
2020-03-13,836903.6484611001,7
2020-03-16,810175.6484611001,7
2020-03-17,803008.6484611001,7
2020-03-18,771175.6484611001,7
2020-03-19,692709.6484611001,7
2020-03-20,731022.6484611001,7
2020-03-23,707824.6484611001,7
2020-03-24,745741.6484611001,7
2020-03-25,771882.6484611001,7
2020-03-26,779788.6484611001,7
2020-03-27,786640.6484611001,7
2020-03-30,824203.6484611001,7
2020-03-31,850582.6484611001,7
2020-04-01,851016.195982,7
2020-04-02,864081.195982,7
2020-04-03,883968.195982,7
2020-04-06,896368.195982,7
2020-04-07,906593.6019293999,10
2020-04-08,912429.6019293999,10
2020-04-09,922327.6019293999,10
2020-04-10,933783.6019293999,10
2020-04-13,913193.6019293999,10
2020-04-14,931149.6019293999,10
2020-04-16,929183.6019293999,10
2020-04-17,943303.6019293999,10
2020-04-20,941871.6019293999,10
2020-04-21,959731.6019293999,10
2020-04-22,986639.6019293999,10
2020-04-23,993621.6019293999,10
2020-04-24,984187.6019293999,10
2020-04-27,1002591.6019293999,10
2020-04-28,1003585.6019293999,10
2020-04-29,1009847.6019293999,10
2020-05-04,1006042.4476726998,10
2020-05-06,1025594.4476726998,10
2020-05-07,1064884.4476726998,10
2020-05-08,1079487.4476726998,10
2020-05-11,1089372.4476726998,10
2020-05-12,1092470.4476726998,10
2020-05-13,1103708.4476726998,10
2020-05-14,1100960.4476726998,10
2020-05-15,1101828.4476726998,10
2020-05-18,1124061.4476726998,10
2020-05-19,1139775.4476726998,10
2020-05-20,1144854.4476726998,10
2020-05-21,1142069.2116519997,10
2020-05-22,1129249.2116519997,10
2020-05-25,1133619.2116519997,10
2020-05-26,1143986.2116519997,10
2020-05-27,1152657.2116519997,10
2020-05-28,1139400.2116519997,10
2020-05-29,1145161.2116519997,10
2020-06-01,1150329.4326929997,10
2020-06-02,1169951.4326929997,10
2020-06-03,1155081.4326929997,10
2020-06-04,1149996.4326929997,10
2020-06-05,1159134.4326929997,10
2020-06-08,1158799.4326929997,10
2020-06-09,1165999.4326929997,10
2020-06-10,1174895.4326929997,10
2020-06-11,1156219.4326929997,10
2020-06-12,1144387.4326929997,10
2020-06-15,1102041.4326929997,10
2020-06-16,1133584.4326929997,10
2020-06-17,1136200.4326929997,10
2020-06-18,1149540.4326929997,10
2020-06-19,1146479.4326929997,10
2020-06-22,1142000.4326929997,10
2020-06-23,1143662.4326929997,10
2020-06-24,1144842.4326929997,10
2020-06-25,1136258.4326929997,10
2020-06-26,1125301.4326929997,10
2020-06-29,1107383.4326929997,10
2020-06-30,1117119.4326929997,10
2020-07-01,1111845.8592269998,10
2020-07-02,1116750.8592269998,10
2020-07-03,1130761.8592269998,10
2020-07-06,1142911.8592269998,10
2020-07-07,1139301.8592269998,10
2020-07-08,1152126.8592269998,10
2020-07-09,1155411.8592269998,10
2020-07-10,1149881.8592269998,10
2020-07-13,1170932.8592269998,10
2020-07-14,1179427.8592269998,10
2020-07-15,1205237.8592269998,10
2020-07-16,1210707.8592269998,10
2020-07-17,1224862.8592269998,10
2020-07-20,1225801.8592269998,10
2020-07-21,1213621.8592269998,10
2020-07-22,1214156.8592269998,10
2020-07-23,1212726.8592269998,10
2020-07-24,1206761.8592269998,10
2020-07-27,1225761.8592269998,10
2020-07-28,1217871.8592269998,10
2020-07-29,1229798.8592269998,10
2020-07-30,1231737.8592269998,10
2020-07-31,1215242.8592269998,10
2020-08-03,1215842.1280629998,10
2020-08-04,1244943.1280629998,10
2020-08-05,1239471.1280629998,10
2020-08-06,1246652.1280629998,10
2020-08-07,1291801.1280629998,10
2020-08-10,1308752.1280629998,10
2020-08-11,1334172.1280629998,10
2020-08-12,1338012.1280629998,10
2020-08-13,1344272.1280629998,10
2020-08-14,1330142.1280629998,10
2020-08-18,1267310.1280629998,10
2020-08-19,1279920.1280629998,10
2020-08-20,1230364.9125356998,10
2020-08-21,1244577.9125356998,10
2020-08-24,1248490.9125356998,10
2020-08-25,1257314.9125356998,10
2020-08-26,1248374.9125356998,10
2020-08-27,1226116.9125356998,10
2020-08-28,1235443.9125356998,10
2020-08-31,1255440.9125356998,10
2020-09-01,1255465.5830756996,10
2020-09-02,1268128.5830756996,10
2020-09-03,1277995.5830756996,10
2020-09-04,1268541.5830756996,10
2020-09-07,1300958.5830756996,10
2020-09-08,1330925.5830756996,10
2020-09-09,1321215.5830756996,10
2020-09-10,1330765.5830756996,10
2020-09-11,1371848.5830756996,10
2020-09-14,1384111.5830756996,10
2020-09-15,1415461.5830756996,10
2020-09-16,1418451.5830756996,10
2020-09-17,1405320.5830756996,10
2020-09-18,1394985.5830756996,10
2020-09-21,1375338.5830756996,10
2020-09-22,1347584.5830756996,10
2020-09-23,1360387.5830756996,10
2020-09-24,1324127.5830756996,10
2020-09-25,1338088.5830756996,10
2020-09-28,1327911.5830756996,10
2020-09-29,1336272.5830756996,10
2020-10-05,1341209.7892877995,10
2020-10-06,1340895.7892877995,10
2020-10-07,1345599.7892877995,10
2020-10-08,1348406.7892877995,10
2020-10-12,1360019.7892877995,10
2020-10-13,1363399.7892877995,10
2020-10-14,1352385.7892877995,10
2020-10-15,1339935.7892877995,10
2020-10-16,1342025.7892877995,10
2020-10-19,1353432.7892877995,10
2020-10-20,1353684.7892877995,10
2020-10-21,1361968.7892877995,10
2020-10-22,1356391.7892877995,10
2020-10-23,1353295.7892877995,10
2020-10-26,1339421.7892877995,10
2020-10-27,1326690.7892877995,10
2020-10-28,1333626.7892877995,10
2020-10-29,1321148.7892877995,10
2020-10-30,1322701.7892877995,10
2020-11-02,1335796.6982377996,10
2020-11-03,1344432.6982377996,10
2020-11-04,1363083.6982377996,10
2020-11-05,1370815.6982377996,10
2020-11-06,1358601.6982377996,10
2020-11-09,1380574.6982377996,10
2020-11-10,1394210.6982377996,10
2020-11-11,1415395.6982377996,10
2020-11-12,1414426.6982377996,10
2020-11-13,1412174.6982377996,10
2020-11-16,1456528.6982377996,10
2020-11-17,1447164.6982377996,10
2020-11-18,1465973.6982377996,10
2020-11-19,1458326.6982377996,10
2020-11-20,1470383.6215372994,10
2020-11-23,1471852.6215372994,10
2020-11-24,1478494.6215372994,10
2020-11-25,1453981.6215372994,10
2020-11-26,1466573.6215372994,10
2020-11-27,1478083.6215372994,10
2020-11-30,1468033.6215372994,10
2020-12-01,1480848.2794538995,10
2020-12-02,1495838.2794538995,10
2020-12-03,1489327.2794538995,10
2020-12-04,1501029.2794538995,10
2020-12-07,1517519.2794538995,10
2020-12-08,1505078.2794538995,10
2020-12-09,1546198.2794538995,10
2020-12-10,1557389.2794538995,10
2020-12-11,1571180.2794538995,10
2020-12-14,1556630.2794538995,10
2020-12-15,1542999.2794538995,10
2020-12-16,1553629.2794538995,10
2020-12-17,1570948.2794538995,10
2020-12-18,1587050.2794538995,10
2020-12-21,1599780.2794538995,10
2020-12-22,1556348.2794538995,10
2020-12-23,1554439.2794538995,10
2020-12-24,1576059.2794538995,10
2020-12-28,1582700.2794538995,10
2020-12-29,1577691.2794538995,10
2020-12-30,1600003.2794538995,10
2021-01-04,1621784.8289984993,10
2021-01-05,1643757.8289984993,10
2021-01-06,1638640.8289984993,10
2021-01-07,1660464.8289984993,10
2021-01-08,1694111.8289984993,10
2021-01-11,1670959.8289984993,10
2021-01-12,1685610.8289984993,10
2021-01-13,1699643.8289984993,10
2021-01-14,1717773.8289984993,10
2021-01-15,1710983.8289984993,10
2021-01-18,1694385.8289984993,10
2021-01-19,1768783.8289984993,10
2021-01-20,1765420.8289984993,10
2021-01-21,1810920.8289984993,10
2021-01-22,1801193.8289984993,10
2021-01-25,1813740.8289984993,10
2021-01-26,1828599.8289984993,10
2021-01-27,1836334.8289984993,10
2021-01-28,1804303.8289984993,10
2021-01-29,1732677.8289984993,10
2021-02-01,1735372.2929238991,10
2021-02-02,1748832.2929238991,10
2021-02-03,1758452.2929238991,10
2021-02-04,1749682.2929238991,10
2021-02-05,1763586.2929238991,10
2021-02-08,1772536.2929238991,10
2021-02-09,1777006.2929238991,10
2021-02-10,1781156.2929238991,10
2021-02-15,1802420.2929238991,10
2021-02-16,1814408.2929238991,10
2021-02-17,1854638.2929238991,10
2021-02-18,1840648.2929238991,10
2021-02-19,1886708.2929238991,10
2021-02-22,1978682.2929238991,10
2021-02-23,1956882.2929238991,10
2021-02-24,1878394.2929238991,10
2021-02-25,1922558.2929238991,10
2021-02-26,1886858.2929238991,10
2021-03-02,1890915.763624699,10
2021-03-03,1902193.763624699,10
2021-03-04,1898771.763624699,10
2021-03-05,1892231.763624699,10
2021-03-08,1883093.763624699,10
2021-03-09,1861755.763624699,10
2021-03-10,1837573.763624699,10
2021-03-11,1850455.763624699,10
2021-03-12,1872275.763624699,10
2021-03-15,1897371.763624699,10
2021-03-16,1901723.763624699,10
2021-03-17,1900533.763624699,10
2021-03-18,1909993.763624699,10
2021-03-19,1907063.763624699,10
2021-03-22,1910583.763624699,10
2021-03-23,1911189.763624699,10
2021-03-24,1898571.763624699,10
2021-03-25,1896581.763624699,10
2021-03-26,1911881.763624699,10
2021-03-29,1928847.763624699,10
2021-03-30,1943487.763624699,10
2021-03-31,1976367.763624699,10
2021-04-01,1971416.2741846992,10
2021-04-02,1962606.2741846992,10
2021-04-05,1981474.2741846992,10
2021-04-06,1973849.680144399,10
2021-04-07,1996219.680144399,10
2021-04-08,2015258.680144399,10
2021-04-09,2058725.680144399,10
2021-04-12,2082857.680144399,10
2021-04-13,2082846.680144399,10
2021-04-14,2092200.680144399,10
2021-04-15,2085006.680144399,10
2021-04-16,2101523.680144399,10
2021-04-19,2103661.680144399,10
2021-04-20,2113442.680144399,10
2021-04-21,2084069.680144399,10
2021-04-22,2107146.680144399,10
2021-04-23,2121672.680144399,10
2021-04-26,2147372.680144399,10
2021-04-27,2136604.680144399,10
2021-04-28,2085998.680144399,10
2021-04-29,2087761.680144399,10
2021-04-30,2066682.680144399,10
2021-05-03,2071522.061284399,10
2021-05-04,2072503.061284399,10
2021-05-06,2114167.061284399,10
2021-05-07,2144953.061284399,10
2021-05-10,2231846.061284399,10
2021-05-11,2265300.061284399,10
2021-05-12,2240104.061284399,10
2021-05-13,2204418.061284399,10
2021-05-14,2227850.061284399,10
2021-05-17,2186308.061284399,10
2021-05-18,2208019.061284399,10
2021-05-20,2200486.061284399,10
2021-05-21,2162112.532746499,10
2021-05-24,2127762.532746499,10
2021-05-25,2143565.532746499,10
2021-05-26,2145681.532746499,10
2021-05-27,2153637.532746499,10
2021-05-28,2164464.532746499,10
2021-05-31,2201026.532746499,10
2021-06-01,2198379.7236277987,10
2021-06-02,2197235.7236277987,10
2021-06-03,2192661.7236277987,10
2021-06-04,2181606.7236277987,10
2021-06-07,2197132.7236277987,10
2021-06-08,2206613.7236277987,10
2021-06-09,2191227.7236277987,10
2021-06-10,2186173.7236277987,10
2021-06-11,2208063.7236277987,10
2021-06-14,2208403.7236277987,10
2021-06-15,2211278.7236277987,10
2021-06-16,2228521.7236277987,10
2021-06-17,2213216.7236277987,10
2021-06-18,2213981.7236277987,10
2021-06-21,2185895.7236277987,10
2021-06-22,2226823.7236277987,10
2021-06-23,2221674.7236277987,10
2021-06-24,2215347.7236277987,10
2021-06-25,2221872.7236277987,10
2021-06-28,2242729.7236277987,10
2021-06-29,2232069.7236277987,10
2021-06-30,2252296.7236277987,10
2021-07-01,2247668.4605484987,10
2021-07-02,2252647.4605484987,10
2021-07-05,2261621.4605484987,10
2021-07-06,2256910.4605484987,10
2021-07-07,2246311.4605484987,10
2021-07-08,2213594.4605484987,10
2021-07-09,2174076.4605484987,10
2021-07-12,2203382.4605484987,10
2021-07-13,2226901.4605484987,10
2021-07-14,2222110.4605484987,10
2021-07-15,2224576.4605484987,10
2021-07-16,2250620.4605484987,10
2021-07-19,2235265.4605484987,10
2021-07-20,2201085.4605484987,10
2021-07-21,2187336.4605484987,10
2021-07-22,2201397.4605484987,10
2021-07-23,2200778.4605484987,10
2021-07-26,2179562.4605484987,10
2021-07-27,2209341.4605484987,10
2021-07-28,2188363.4605484987,10
2021-07-29,2192306.4605484987,10
2021-07-30,2165765.4605484987,10
2021-08-02,2155543.7708256985,10
2021-08-03,2145657.7708256985,10
2021-08-04,2174351.7708256985,10
2021-08-05,2188393.7708256985,10
2021-08-06,2194394.7708256985,10
2021-08-09,2197357.7708256985,10
2021-08-10,2172675.7708256985,10
2021-08-11,2152305.7708256985,10
2021-08-12,2140085.7708256985,10
2021-08-13,2100219.7708256985,10
2021-08-17,2045491.7708256983,10
2021-08-18,2057724.7708256983,10
2021-08-19,1978977.7708256983,10
2021-08-20,1926844.960534498,9
2021-08-23,1949242.960534498,9
2021-08-24,2002460.960534498,9
2021-08-25,2006066.960534498,9
2021-08-26,2010326.960534498,9
2021-08-27,2024420.960534498,9
2021-08-30,2052120.960534498,9
2021-08-31,2058896.960534498,9
2021-09-01,2059613.852653498,10
2021-09-02,2058187.852653498,10
2021-09-03,2065973.852653498,10
2021-09-06,2081869.852653498,10
2021-09-07,2073521.852653498,10
2021-09-08,2066203.852653498,10
2021-09-09,2068343.852653498,10
2021-09-10,2151773.852653498,10
2021-09-13,2196491.852653498,10
2021-09-14,2198665.852653498,10
2021-09-15,2161271.852653498,10
2021-09-16,2183451.852653498,10
2021-09-17,2172593.852653498,10
2021-09-23,2132417.852653498,10
2021-09-24,2115747.852653498,10
2021-09-27,2137997.852653498,10
2021-09-28,2145681.852653498,10
2021-09-29,2121525.852653498,10
2021-09-30,2124567.852653498,10
2021-10-01,2066249.463399998,10
2021-10-05,2030713.463399998,10
2021-10-06,2001852.463399998,10
2021-10-07,2061572.463399998,10
2021-10-08,2058095.463399998,10
2021-10-12,2033168.463399998,10
2021-10-13,2056877.463399998,10
2021-10-14,2077223.463399998,10
2021-10-15,2102868.463399998,10
2021-10-18,2092540.463399998,10
2021-10-19,2093302.463399998,10
2021-10-20,2084338.463399998,10
2021-10-21,2074897.463399998,10
2021-10-22,2070348.463399998,10
2021-10-25,2074045.463399998,10
2021-10-26,2100629.463399998,10
2021-10-27,2094512.463399998,10
2021-10-28,2076310.463399998,10
2021-10-29,2057502.463399998,10
2021-11-01,2057137.9369522976,10
2021-11-02,2070343.9369522976,10
2021-11-03,2063081.9369522976,10
2021-11-04,2062271.9369522976,10
2021-11-05,2041993.9369522976,10
2021-11-08,2040743.9369522976,10
2021-11-09,2033587.9369522976,10
2021-11-10,2005137.9369522976,10
2021-11-11,1995425.9369522976,10
2021-11-12,2032425.9369522976,10
2021-11-15,2062109.9369522976,10
2021-11-16,2057959.9369522976,10
2021-11-17,2057599.9369522976,10
2021-11-18,2049899.9369522976,10
2021-11-19,2061609.9369522976,10
2021-11-22,2048334.5992222975,10
2021-11-23,2041766.5992222975,10
2021-11-24,2055178.5992222975,10
2021-11-25,2038172.5992222975,10
2021-11-26,2001360.5992222975,10
2021-11-29,1956738.5992222975,10
2021-11-30,1904442.5992222975,10
2021-12-01,1945534.4524748973,10
2021-12-02,1991348.4524748973,10
2021-12-03,2021916.4524748973,10
2021-12-06,2036216.4524748973,10
2021-12-07,2049408.4524748973,10
2021-12-08,2068698.4524748973,10
2021-12-09,2072680.4524748973,10
2021-12-10,2067396.4524748973,10
2021-12-13,2083882.4524748973,10
2021-12-14,2081486.4524748973,10
2021-12-15,2075428.4524748973,10
2021-12-16,2072944.4524748973,10
2021-12-17,2096692.4524748973,10
2021-12-20,2054190.4524748973,10
2021-12-21,2056650.4524748973,10
2021-12-22,2056388.4524748973,10
2021-12-23,2065534.4524748973,10
2021-12-24,2067876.4524748973,10
2021-12-27,2077258.4524748973,10
2021-12-28,2088938.4524748973,10
2021-12-29,2068368.4524748973,10
2021-12-30,2068794.4524748973,10
2022-01-03,2084332.4806687976,10
2022-01-04,2099769.4806687976,10
